Sexo;Edad;Dificultad para llegar a fin de mes;Periodo;Total
Ambos sexos;Total;Con cierta dificultad;2024;25,6
Ambos sexos;Total;Con cierta dificultad;2023;26,1
Ambos sexos;Total;Con cierta dificultad;2022;25,7
Ambos sexos;Total;Con cierta dificultad;2021;23,3
Ambos sexos;Total;Con cierta dificultad;2020;22,3
Ambos sexos;Total;Con cierta dificultad;2019;27,3
Ambos sexos;Total;Con cierta dificultad;2018;28,1
Ambos sexos;Total;Con cierta dificultad;2017;28,2
Ambos sexos;Total;Con cierta dificultad;2016;27
Ambos sexos;Total;Con cierta dificultad;2015;29,3
Ambos sexos;Total;Con cierta dificultad;2014;28,8
Ambos sexos;Total;Con cierta dificultad;2013;28,2
Ambos sexos;Total;Con cierta dificultad;2012;28,4
Ambos sexos;Total;Con cierta dificultad;2011;29,3
Ambos sexos;Total;Con cierta dificultad;2010;28
Ambos sexos;Total;Con cierta dificultad;2009;28,2
Ambos sexos;Total;Con cierta dificultad;2008;31
Ambos sexos;Total;Con cierta dificultad;2007;31,1
Ambos sexos;Total;Con cierta dificultad;2006;31,6
Ambos sexos;Total;Con cierta dificultad;2005;32,3
Ambos sexos;Total;Con cierta dificultad;2004;32
Ambos sexos;Total;Con cierta facilidad;2024;28,7
Ambos sexos;Total;Con cierta facilidad;2023;28,5
Ambos sexos;Total;Con cierta facilidad;2022;28,8
Ambos sexos;Total;Con cierta facilidad;2021;29,9
Ambos sexos;Total;Con cierta facilidad;2020;30,9
Ambos sexos;Total;Con cierta facilidad;2019;34
Ambos sexos;Total;Con cierta facilidad;2018;30,6
Ambos sexos;Total;Con cierta facilidad;2017;32,5
Ambos sexos;Total;Con cierta facilidad;2016;25,4
Ambos sexos;Total;Con cierta facilidad;2015;25
Ambos sexos;Total;Con cierta facilidad;2014;23,2
Ambos sexos;Total;Con cierta facilidad;2013;22,6
Ambos sexos;Total;Con cierta facilidad;2012;26,2
Ambos sexos;Total;Con cierta facilidad;2011;28
Ambos sexos;Total;Con cierta facilidad;2010;23,7
Ambos sexos;Total;Con cierta facilidad;2009;24,5
Ambos sexos;Total;Con cierta facilidad;2008;25
Ambos sexos;Total;Con cierta facilidad;2007;25,7
Ambos sexos;Total;Con cierta facilidad;2006;25,5
Ambos sexos;Total;Con cierta facilidad;2005;27,4
Ambos sexos;Total;Con cierta facilidad;2004;26,7
Ambos sexos;Total;Con facilidad;2024;20,1
Ambos sexos;Total;Con facilidad;2023;19,4
Ambos sexos;Total;Con facilidad;2022;19,9
Ambos sexos;Total;Con facilidad;2021;21,3
Ambos sexos;Total;Con facilidad;2020;21,3
Ambos sexos;Total;Con facilidad;2019;15,7
Ambos sexos;Total;Con facilidad;2018;13,1
Ambos sexos;Total;Con facilidad;2017;13,3
Ambos sexos;Total;Con facilidad;2016;11,1
Ambos sexos;Total;Con facilidad;2015;9,7
Ambos sexos;Total;Con facilidad;2014;8,4
Ambos sexos;Total;Con facilidad;2013;9,5
Ambos sexos;Total;Con facilidad;2012;9,9
Ambos sexos;Total;Con facilidad;2011;12,7
Ambos sexos;Total;Con facilidad;2010;13,5
Ambos sexos;Total;Con facilidad;2009;12,1
Ambos sexos;Total;Con facilidad;2008;11,2
Ambos sexos;Total;Con facilidad;2007;13,9
Ambos sexos;Total;Con facilidad;2006;10,8
Ambos sexos;Total;Con facilidad;2005;11,3
Ambos sexos;Total;Con facilidad;2004;10,6
Ambos sexos;Total;Con mucha facilidad;2024;3,6
Ambos sexos;Total;Con mucha facilidad;2023;3,2
Ambos sexos;Total;Con mucha facilidad;2022;3,3
Ambos sexos;Total;Con mucha facilidad;2021;3,8
Ambos sexos;Total;Con mucha facilidad;2020;2,5
Ambos sexos;Total;Con mucha facilidad;2019;1
Ambos sexos;Total;Con mucha facilidad;2018;1,1
Ambos sexos;Total;Con mucha facilidad;2017;0,9
Ambos sexos;Total;Con mucha facilidad;2016;0,9
Ambos sexos;Total;Con mucha facilidad;2015;0,7
Ambos sexos;Total;Con mucha facilidad;2014;0,6
Ambos sexos;Total;Con mucha facilidad;2013;0,8
Ambos sexos;Total;Con mucha facilidad;2012;0,8
Ambos sexos;Total;Con mucha facilidad;2011;1
Ambos sexos;Total;Con mucha facilidad;2010;1,1
Ambos sexos;Total;Con mucha facilidad;2009;1,1
Ambos sexos;Total;Con mucha facilidad;2008;0,9
Ambos sexos;Total;Con mucha facilidad;2007;1,2
Ambos sexos;Total;Con mucha facilidad;2006;1
Ambos sexos;Total;Con mucha facilidad;2005;0,9
Ambos sexos;Total;Con mucha facilidad;2004;0,7
Ambos sexos;Total;No consta;2024;0,3
Ambos sexos;Total;No consta;2023;0,3
Ambos sexos;Total;No consta;2022;0,2
Ambos sexos;Total;No consta;2021;0
Ambos sexos;Total;No consta;2020;0,1
Ambos sexos;Total;No consta;2019;0,1
Ambos sexos;Total;No consta;2018;..
Ambos sexos;Total;No consta;2017;..
Ambos sexos;Total;No consta;2016;..
Ambos sexos;Total;No consta;2015;0
Ambos sexos;Total;No consta;2014;0
Ambos sexos;Total;No consta;2013;..
Ambos sexos;Total;No consta;2012;..
Ambos sexos;Total;No consta;2011;..
Ambos sexos;Total;No consta;2010;0
Ambos sexos;Total;No consta;2009;0
Ambos sexos;Total;No consta;2008;0
Ambos sexos;Total;No consta;2007;0,1
Ambos sexos;Total;No consta;2006;0,1
Ambos sexos;Total;No consta;2005;0,3
Ambos sexos;Total;No consta;2004;0,2
Ambos sexos;Menores de 16 años;Con mucha dificultad;2024;11,6
Ambos sexos;Menores de 16 años;Con mucha dificultad;2023;12,4
Ambos sexos;Menores de 16 años;Con mucha dificultad;2022;10,5
Ambos sexos;Menores de 16 años;Con mucha dificultad;2021;11
Ambos sexos;Menores de 16 años;Con mucha dificultad;2020;11,4
Ambos sexos;Menores de 16 años;Con mucha dificultad;2019;9,5
Ambos sexos;Menores de 16 años;Con mucha dificultad;2018;11,8
Ambos sexos;Menores de 16 años;Con mucha dificultad;2017;10,9
Ambos sexos;Menores de 16 años;Con mucha dificultad;2016;18,3
Ambos sexos;Menores de 16 años;Con mucha dificultad;2015;18,9
Ambos sexos;Menores de 16 años;Con mucha dificultad;2014;21,6
Ambos sexos;Menores de 16 años;Con mucha dificultad;2013;22,7
Ambos sexos;Menores de 16 años;Con mucha dificultad;2012;17,4
Ambos sexos;Menores de 16 años;Con mucha dificultad;2011;12,7
Ambos sexos;Menores de 16 años;Con mucha dificultad;2010;19
Ambos sexos;Menores de 16 años;Con mucha dificultad;2009;21,4
Ambos sexos;Menores de 16 años;Con mucha dificultad;2008;17,2
Ambos sexos;Menores de 16 años;Con mucha dificultad;2007;13,8
Ambos sexos;Menores de 16 años;Con mucha dificultad;2006;16,1
Ambos sexos;Menores de 16 años;Con mucha dificultad;2005;12,9
Ambos sexos;Menores de 16 años;Con mucha dificultad;2004;13,4
Ambos sexos;Menores de 16 años;Con dificultad;2024;14,7
Ambos sexos;Menores de 16 años;Con dificultad;2023;15
Ambos sexos;Menores de 16 años;Con dificultad;2022;15,2
Ambos sexos;Menores de 16 años;Con dificultad;2021;14,5
Ambos sexos;Menores de 16 años;Con dificultad;2020;14,3
Ambos sexos;Menores de 16 años;Con dificultad;2019;16,5
Ambos sexos;Menores de 16 años;Con dificultad;2018;17,3
Ambos sexos;Menores de 16 años;Con dificultad;2017;16,2
Ambos sexos;Menores de 16 años;Con dificultad;2016;20,7
Ambos sexos;Menores de 16 años;Con dificultad;2015;20,2
Ambos sexos;Menores de 16 años;Con dificultad;2014;22,3
Ambos sexos;Menores de 16 años;Con dificultad;2013;20,5
Ambos sexos;Menores de 16 años;Con dificultad;2012;21,9
Ambos sexos;Menores de 16 años;Con dificultad;2011;19,9
Ambos sexos;Menores de 16 años;Con dificultad;2010;19,8
Ambos sexos;Menores de 16 años;Con dificultad;2009;19,1
Ambos sexos;Menores de 16 años;Con dificultad;2008;20,3
Ambos sexos;Menores de 16 años;Con dificultad;2007;17,5
Ambos sexos;Menores de 16 años;Con dificultad;2006;20,5
Ambos sexos;Menores de 16 años;Con dificultad;2005;18
Ambos sexos;Menores de 16 años;Con dificultad;2004;18,5
Ambos sexos;Menores de 16 años;Con cierta dificultad;2024;26,9
Ambos sexos;Menores de 16 años;Con cierta dificultad;2023;27,2
Ambos sexos;Menores de 16 años;Con cierta dificultad;2022;26,3
Ambos sexos;Menores de 16 años;Con cierta dificultad;2021;23
Ambos sexos;Menores de 16 años;Con cierta dificultad;2020;24,1
Ambos sexos;Menores de 16 años;Con cierta dificultad;2019;27,1
Ambos sexos;Menores de 16 años;Con cierta dificultad;2018;29,2
Ambos sexos;Menores de 16 años;Con cierta dificultad;2017;30
Ambos sexos;Menores de 16 años;Con cierta dificultad;2016;26,9
Ambos sexos;Menores de 16 años;Con cierta dificultad;2015;28,7
Ambos sexos;Menores de 16 años;Con cierta dificultad;2014;26,4
Ambos sexos;Menores de 16 años;Con cierta dificultad;2013;29
Ambos sexos;Menores de 16 años;Con cierta dificultad;2012;28,5
Ambos sexos;Menores de 16 años;Con cierta dificultad;2011;30
Ambos sexos;Menores de 16 años;Con cierta dificultad;2010;26,9
Ambos sexos;Menores de 16 años;Con cierta dificultad;2009;26,7
Ambos sexos;Menores de 16 años;Con cierta dificultad;2008;29,7
Ambos sexos;Menores de 16 años;Con cierta dificultad;2007;31,5
Ambos sexos;Menores de 16 años;Con cierta dificultad;2006;31,8
Ambos sexos;Menores de 16 años;Con cierta dificultad;2005;31,9
Ambos sexos;Menores de 16 años;Con cierta dificultad;2004;32,2
Ambos sexos;Menores de 16 años;Con cierta facilidad;2024;26
Ambos sexos;Menores de 16 años;Con cierta facilidad;2023;26,8
Ambos sexos;Menores de 16 años;Con cierta facilidad;2022;26,4
Ambos sexos;Menores de 16 años;Con cierta facilidad;2021;27,7
Ambos sexos;Menores de 16 años;Con cierta facilidad;2020;28,6
Ambos sexos;Menores de 16 años;Con cierta facilidad;2019;31,3
Ambos sexos;Menores de 16 años;Con cierta facilidad;2018;28,7
Ambos sexos;Menores de 16 años;Con cierta facilidad;2017;29,3
Ambos sexos;Menores de 16 años;Con cierta facilidad;2016;23,2
Ambos sexos;Menores de 16 años;Con cierta facilidad;2015;22,4
Ambos sexos;Menores de 16 años;Con cierta facilidad;2014;21,9
Ambos sexos;Menores de 16 años;Con cierta facilidad;2013;19,1
Ambos sexos;Menores de 16 años;Con cierta facilidad;2012;23,3
Ambos sexos;Menores de 16 años;Con cierta facilidad;2011;25,6
Ambos sexos;Menores de 16 años;Con cierta facilidad;2010;21,3
Ambos sexos;Menores de 16 años;Con cierta facilidad;2009;21,5
Ambos sexos;Menores de 16 años;Con cierta facilidad;2008;22,6
Ambos sexos;Menores de 16 años;Con cierta facilidad;2007;24,5
Ambos sexos;Menores de 16 años;Con cierta facilidad;2006;22
Ambos sexos;Menores de 16 años;Con cierta facilidad;2005;26,6
Ambos sexos;Menores de 16 años;Con cierta facilidad;2004;24,5
Ambos sexos;Menores de 16 años;Con facilidad;2024;17,4
Ambos sexos;Menores de 16 años;Con facilidad;2023;15,4
Ambos sexos;Menores de 16 años;Con facilidad;2022;17,9
Ambos sexos;Menores de 16 años;Con facilidad;2021;19,9
Ambos sexos;Menores de 16 años;Con facilidad;2020;19,2
Ambos sexos;Menores de 16 años;Con facilidad;2019;14,8
Ambos sexos;Menores de 16 años;Con facilidad;2018;12,1
Ambos sexos;Menores de 16 años;Con facilidad;2017;12,7
Ambos sexos;Menores de 16 años;Con facilidad;2016;10
Ambos sexos;Menores de 16 años;Con facilidad;2015;9,1
Ambos sexos;Menores de 16 años;Con facilidad;2014;7
Ambos sexos;Menores de 16 años;Con facilidad;2013;8,2
Ambos sexos;Menores de 16 años;Con facilidad;2012;8,4
Ambos sexos;Menores de 16 años;Con facilidad;2011;10,5
Ambos sexos;Menores de 16 años;Con facilidad;2010;12,1
Ambos sexos;Menores de 16 años;Con facilidad;2009;10,6
Ambos sexos;Menores de 16 años;Con facilidad;2008;9,5
Ambos sexos;Menores de 16 años;Con facilidad;2007;11,7
Ambos sexos;Menores de 16 años;Con facilidad;2006;9
Ambos sexos;Menores de 16 años;Con facilidad;2005;9,5
Ambos sexos;Menores de 16 años;Con facilidad;2004;10,6
Ambos sexos;Menores de 16 años;Con mucha facilidad;2024;3,1
Ambos sexos;Menores de 16 años;Con mucha facilidad;2023;2,8
Ambos sexos;Menores de 16 años;Con mucha facilidad;2022;3,6
Ambos sexos;Menores de 16 años;Con mucha facilidad;2021;4
Ambos sexos;Menores de 16 años;Con mucha facilidad;2020;2,4
Ambos sexos;Menores de 16 años;Con mucha facilidad;2019;0,7
Ambos sexos;Menores de 16 años;Con mucha facilidad;2018;0,9
Ambos sexos;Menores de 16 años;Con mucha facilidad;2017;0,9
Ambos sexos;Menores de 16 años;Con mucha facilidad;2016;1
Ambos sexos;Menores de 16 años;Con mucha facilidad;2015;0,7
Ambos sexos;Menores de 16 años;Con mucha facilidad;2014;0,7
Ambos sexos;Menores de 16 años;Con mucha facilidad;2013;0,6
Ambos sexos;Menores de 16 años;Con mucha facilidad;2012;0,6
Ambos sexos;Menores de 16 años;Con mucha facilidad;2011;1,1
Ambos sexos;Menores de 16 años;Con mucha facilidad;2010;0,9
Ambos sexos;Menores de 16 años;Con mucha facilidad;2009;0,8
Ambos sexos;Menores de 16 años;Con mucha facilidad;2008;0,6
Ambos sexos;Menores de 16 años;Con mucha facilidad;2007;0,9
Ambos sexos;Menores de 16 años;Con mucha facilidad;2006;0,7
Ambos sexos;Menores de 16 años;Con mucha facilidad;2005;0,9
Ambos sexos;Menores de 16 años;Con mucha facilidad;2004;0,7
Ambos sexos;Menores de 16 años;No consta;2024;0,3
Ambos sexos;Menores de 16 años;No consta;2023;0,3
Ambos sexos;Menores de 16 años;No consta;2022;0,2
Ambos sexos;Menores de 16 años;No consta;2021;0
Ambos sexos;Menores de 16 años;No consta;2020;0
Ambos sexos;Menores de 16 años;No consta;2019;0
Ambos sexos;Menores de 16 años;No consta;2018;..
Ambos sexos;Menores de 16 años;No consta;2017;..
Ambos sexos;Menores de 16 años;No consta;2016;..
Ambos sexos;Menores de 16 años;No consta;2015;..
Ambos sexos;Menores de 16 años;No consta;2014;0
Ambos sexos;Menores de 16 años;No consta;2013;..
Ambos sexos;Menores de 16 años;No consta;2012;..
Ambos sexos;Menores de 16 años;No consta;2011;..
Ambos sexos;Menores de 16 años;No consta;2010;..
Ambos sexos;Menores de 16 años;No consta;2009;0
Ambos sexos;Menores de 16 años;No consta;2008;0
Ambos sexos;Menores de 16 años;No consta;2007;0,1
Ambos sexos;Menores de 16 años;No consta;2006;0
Ambos sexos;Menores de 16 años;No consta;2005;0,1
Ambos sexos;Menores de 16 años;No consta;2004;0,1
Ambos sexos;De 16 a 29 años;Con mucha dificultad;2024;10,3
Ambos sexos;De 16 a 29 años;Con mucha dificultad;2023;10,2
Ambos sexos;De 16 a 29 años;Con mucha dificultad;2022;10
Ambos sexos;De 16 a 29 años;Con mucha dificultad;2021;10,8
Ambos sexos;De 16 a 29 años;Con mucha dificultad;2020;12
Ambos sexos;De 16 a 29 años;Con mucha dificultad;2019;9,7
Ambos sexos;De 16 a 29 años;Con mucha dificultad;2018;13,2
Ambos sexos;De 16 a 29 años;Con mucha dificultad;2017;12,4
Ambos sexos;De 16 a 29 años;Con mucha dificultad;2016;22,2
Ambos sexos;De 16 a 29 años;Con mucha dificultad;2015;18,3
Ambos sexos;De 16 a 29 años;Con mucha dificultad;2014;19,8
Ambos sexos;De 16 a 29 años;Con mucha dificultad;2013;22,2
Ambos sexos;De 16 a 29 años;Con mucha dificultad;2012;17,5
Ambos sexos;De 16 a 29 años;Con mucha dificultad;2011;13,9
Ambos sexos;De 16 a 29 años;Con mucha dificultad;2010;19
Ambos sexos;De 16 a 29 años;Con mucha dificultad;2009;19,3
Ambos sexos;De 16 a 29 años;Con mucha dificultad;2008;15,5
Ambos sexos;De 16 a 29 años;Con mucha dificultad;2007;12,6
Ambos sexos;De 16 a 29 años;Con mucha dificultad;2006;12,8
Ambos sexos;De 16 a 29 años;Con mucha dificultad;2005;12
Ambos sexos;De 16 a 29 años;Con mucha dificultad;2004;12,6
Ambos sexos;De 16 a 29 años;Con dificultad;2024;13,2
Ambos sexos;De 16 a 29 años;Con dificultad;2023;15,3
Ambos sexos;De 16 a 29 años;Con dificultad;2022;14,8
Ambos sexos;De 16 a 29 años;Con dificultad;2021;15
Ambos sexos;De 16 a 29 años;Con dificultad;2020;15,8
Ambos sexos;De 16 a 29 años;Con dificultad;2019;15,2
Ambos sexos;De 16 a 29 años;Con dificultad;2018;19,3
Ambos sexos;De 16 a 29 años;Con dificultad;2017;17,5
Ambos sexos;De 16 a 29 años;Con dificultad;2016;19,7
Ambos sexos;De 16 a 29 años;Con dificultad;2015;22,8
Ambos sexos;De 16 a 29 años;Con dificultad;2014;23,1
Ambos sexos;De 16 a 29 años;Con dificultad;2013;21,2
Ambos sexos;De 16 a 29 años;Con dificultad;2012;21,5
Ambos sexos;De 16 a 29 años;Con dificultad;2011;19,2
Ambos sexos;De 16 a 29 años;Con dificultad;2010;20
Ambos sexos;De 16 a 29 años;Con dificultad;2009;19,1
Ambos sexos;De 16 a 29 años;Con dificultad;2008;20,4
Ambos sexos;De 16 a 29 años;Con dificultad;2007;17,4
Ambos sexos;De 16 a 29 años;Con dificultad;2006;19,3
Ambos sexos;De 16 a 29 años;Con dificultad;2005;17,7
Ambos sexos;De 16 a 29 años;Con dificultad;2004;19,4
Ambos sexos;De 16 a 29 años;Con cierta dificultad;2024;28,7
Ambos sexos;De 16 a 29 años;Con cierta dificultad;2023;28,5
Ambos sexos;De 16 a 29 años;Con cierta dificultad;2022;28,4
Ambos sexos;De 16 a 29 años;Con cierta dificultad;2021;26,3
Ambos sexos;De 16 a 29 años;Con cierta dificultad;2020;23,5
Ambos sexos;De 16 a 29 años;Con cierta dificultad;2019;30
Ambos sexos;De 16 a 29 años;Con cierta dificultad;2018;27,6
Ambos sexos;De 16 a 29 años;Con cierta dificultad;2017;28,6
Ambos sexos;De 16 a 29 años;Con cierta dificultad;2016;26,8
Ambos sexos;De 16 a 29 años;Con cierta dificultad;2015;29,1
Ambos sexos;De 16 a 29 años;Con cierta dificultad;2014;29,9
Ambos sexos;De 16 a 29 años;Con cierta dificultad;2013;26,6
Ambos sexos;De 16 a 29 años;Con cierta dificultad;2012;28,3
Ambos sexos;De 16 a 29 años;Con cierta dificultad;2011;29,9
Ambos sexos;De 16 a 29 años;Con cierta dificultad;2010;28,4
Ambos sexos;De 16 a 29 años;Con cierta dificultad;2009;28,8
Ambos sexos;De 16 a 29 años;Con cierta dificultad;2008;32,6
Ambos sexos;De 16 a 29 años;Con cierta dificultad;2007;33,8
Ambos sexos;De 16 a 29 años;Con cierta dificultad;2006;33,1
Ambos sexos;De 16 a 29 años;Con cierta dificultad;2005;33,2
Ambos sexos;De 16 a 29 años;Con cierta dificultad;2004;32,4
Ambos sexos;De 16 a 29 años;Con cierta facilidad;2024;27,4
Ambos sexos;De 16 a 29 años;Con cierta facilidad;2023;26,9
Ambos sexos;De 16 a 29 años;Con cierta facilidad;2022;27,7
Ambos sexos;De 16 a 29 años;Con cierta facilidad;2021;27,5
Ambos sexos;De 16 a 29 años;Con cierta facilidad;2020;29,6
Ambos sexos;De 16 a 29 años;Con cierta facilidad;2019;31
Ambos sexos;De 16 a 29 años;Con cierta facilidad;2018;28
Ambos sexos;De 16 a 29 años;Con cierta facilidad;2017;29,8
Ambos sexos;De 16 a 29 años;Con cierta facilidad;2016;21,2
Ambos sexos;De 16 a 29 años;Con cierta facilidad;2015;21,3
Ambos sexos;De 16 a 29 años;Con cierta facilidad;2014;20,1
Ambos sexos;De 16 a 29 años;Con cierta facilidad;2013;20,6
Ambos sexos;De 16 a 29 años;Con cierta facilidad;2012;23,5
Ambos sexos;De 16 a 29 años;Con cierta facilidad;2011;25
Ambos sexos;De 16 a 29 años;Con cierta facilidad;2010;20,6
Ambos sexos;De 16 a 29 años;Con cierta facilidad;2009;21,2
Ambos sexos;De 16 a 29 años;Con cierta facilidad;2008;22,2
Ambos sexos;De 16 a 29 años;Con cierta facilidad;2007;24,1
Ambos sexos;De 16 a 29 años;Con cierta facilidad;2006;24,4
Ambos sexos;De 16 a 29 años;Con cierta facilidad;2005;25,2
Ambos sexos;De 16 a 29 años;Con cierta facilidad;2004;25,5
Ambos sexos;De 16 a 29 años;Con facilidad;2024;17,2
Ambos sexos;De 16 a 29 años;Con facilidad;2023;16,6
Ambos sexos;De 16 a 29 años;Con facilidad;2022;16,7
Ambos sexos;De 16 a 29 años;Con facilidad;2021;17,8
Ambos sexos;De 16 a 29 años;Con facilidad;2020;16,4
Ambos sexos;De 16 a 29 años;Con facilidad;2019;13,3
Ambos sexos;De 16 a 29 años;Con facilidad;2018;11,1
Ambos sexos;De 16 a 29 años;Con facilidad;2017;11
Ambos sexos;De 16 a 29 años;Con facilidad;2016;9,3
Ambos sexos;De 16 a 29 años;Con facilidad;2015;7,9
Ambos sexos;De 16 a 29 años;Con facilidad;2014;6,6
Ambos sexos;De 16 a 29 años;Con facilidad;2013;8,7
Ambos sexos;De 16 a 29 años;Con facilidad;2012;8,9
Ambos sexos;De 16 a 29 años;Con facilidad;2011;11,1
Ambos sexos;De 16 a 29 años;Con facilidad;2010;11,1
Ambos sexos;De 16 a 29 años;Con facilidad;2009;10,6
Ambos sexos;De 16 a 29 años;Con facilidad;2008;8,5
Ambos sexos;De 16 a 29 años;Con facilidad;2007;11,1
Ambos sexos;De 16 a 29 años;Con facilidad;2006;9,5
Ambos sexos;De 16 a 29 años;Con facilidad;2005;10,5
Ambos sexos;De 16 a 29 años;Con facilidad;2004;9,3
Ambos sexos;De 16 a 29 años;Con mucha facilidad;2024;2,9
Ambos sexos;De 16 a 29 años;Con mucha facilidad;2023;2,3
Ambos sexos;De 16 a 29 años;Con mucha facilidad;2022;2,3
Ambos sexos;De 16 a 29 años;Con mucha facilidad;2021;2,5
Ambos sexos;De 16 a 29 años;Con mucha facilidad;2020;2,7
Ambos sexos;De 16 a 29 años;Con mucha facilidad;2019;0,8
Ambos sexos;De 16 a 29 años;Con mucha facilidad;2018;0,7
Ambos sexos;De 16 a 29 años;Con mucha facilidad;2017;0,7
Ambos sexos;De 16 a 29 años;Con mucha facilidad;2016;0,8
Ambos sexos;De 16 a 29 años;Con mucha facilidad;2015;0,5
Ambos sexos;De 16 a 29 años;Con mucha facilidad;2014;0,5
Ambos sexos;De 16 a 29 años;Con mucha facilidad;2013;0,6
Ambos sexos;De 16 a 29 años;Con mucha facilidad;2012;0,5
Ambos sexos;De 16 a 29 años;Con mucha facilidad;2011;0,8
Ambos sexos;De 16 a 29 años;Con mucha facilidad;2010;0,9
Ambos sexos;De 16 a 29 años;Con mucha facilidad;2009;0,9
Ambos sexos;De 16 a 29 años;Con mucha facilidad;2008;0,8
Ambos sexos;De 16 a 29 años;Con mucha facilidad;2007;0,8
Ambos sexos;De 16 a 29 años;Con mucha facilidad;2006;0,6
Ambos sexos;De 16 a 29 años;Con mucha facilidad;2005;0,6
Ambos sexos;De 16 a 29 años;Con mucha facilidad;2004;0,4
Ambos sexos;De 16 a 29 años;No consta;2024;0,3
Ambos sexos;De 16 a 29 años;No consta;2023;0,3
Ambos sexos;De 16 a 29 años;No consta;2022;0,1
Ambos sexos;De 16 a 29 años;No consta;2021;0
Ambos sexos;De 16 a 29 años;No consta;2020;0
Ambos sexos;De 16 a 29 años;No consta;2019;0
Ambos sexos;De 16 a 29 años;No consta;2018;..
Ambos sexos;De 16 a 29 años;No consta;2017;..
Ambos sexos;De 16 a 29 años;No consta;2016;..
Ambos sexos;De 16 a 29 años;No consta;2015;0
Ambos sexos;De 16 a 29 años;No consta;2014;..
Ambos sexos;De 16 a 29 años;No consta;2013;..
Ambos sexos;De 16 a 29 años;No consta;2012;..
Ambos sexos;De 16 a 29 años;No consta;2011;..
Ambos sexos;De 16 a 29 años;No consta;2010;..
Ambos sexos;De 16 a 29 años;No consta;2009;0
Ambos sexos;De 16 a 29 años;No consta;2008;..
Ambos sexos;De 16 a 29 años;No consta;2007;0,1
Ambos sexos;De 16 a 29 años;No consta;2006;0,2
Ambos sexos;De 16 a 29 años;No consta;2005;0,8
Ambos sexos;De 16 a 29 años;No consta;2004;0,4
Ambos sexos;De 30 a 44 años;Con mucha dificultad;2024;10
Ambos sexos;De 30 a 44 años;Con mucha dificultad;2023;10,4
Ambos sexos;De 30 a 44 años;Con mucha dificultad;2022;8,5
Ambos sexos;De 30 a 44 años;Con mucha dificultad;2021;8,3
Ambos sexos;De 30 a 44 años;Con mucha dificultad;2020;9,9
Ambos sexos;De 30 a 44 años;Con mucha dificultad;2019;7
Ambos sexos;De 30 a 44 años;Con mucha dificultad;2018;9,6
Ambos sexos;De 30 a 44 años;Con mucha dificultad;2017;8
Ambos sexos;De 30 a 44 años;Con mucha dificultad;2016;14,9
Ambos sexos;De 30 a 44 años;Con mucha dificultad;2015;14,4
Ambos sexos;De 30 a 44 años;Con mucha dificultad;2014;17,9
Ambos sexos;De 30 a 44 años;Con mucha dificultad;2013;19,7
Ambos sexos;De 30 a 44 años;Con mucha dificultad;2012;16,5
Ambos sexos;De 30 a 44 años;Con mucha dificultad;2011;11,7
Ambos sexos;De 30 a 44 años;Con mucha dificultad;2010;16,2
Ambos sexos;De 30 a 44 años;Con mucha dificultad;2009;16,6
Ambos sexos;De 30 a 44 años;Con mucha dificultad;2008;14,8
