Comunidades y Ciudades Autónomas;Dificultad para llegar a fin de mes;Periodo;Total
04 Balears, Illes;Con mucha dificultad;2019;6,2
04 Balears, Illes;Con mucha dificultad;2018;10,4
04 Balears, Illes;Con mucha dificultad;2017;5,9
04 Balears, Illes;Con mucha dificultad;2016;14
04 Balears, Illes;Con mucha dificultad;2015;17,9
04 Balears, Illes;Con mucha dificultad;2014;16,7
04 Balears, Illes;Con mucha dificultad;2013;18,8
04 Balears, Illes;Con mucha dificultad;2012;8,9
04 Balears, Illes;Con mucha dificultad;2011;16
04 Balears, Illes;Con mucha dificultad;2010;14,8
04 Balears, Illes;Con mucha dificultad;2009;16,4
04 Balears, Illes;Con mucha dificultad;2008;14,1
04 Balears, Illes;Con mucha dificultad;2007;7,4
04 Balears, Illes;Con mucha dificultad;2006;11,9
04 Balears, Illes;Con mucha dificultad;2005;15,8
04 Balears, Illes;Con mucha dificultad;2004;9,6
04 Balears, Illes;Con dificultad;2024;9,1
04 Balears, Illes;Con dificultad;2023;8,5
04 Balears, Illes;Con dificultad;2022;12,2
04 Balears, Illes;Con dificultad;2021;13,1
04 Balears, Illes;Con dificultad;2020;13,1
04 Balears, Illes;Con dificultad;2019;13,5
04 Balears, Illes;Con dificultad;2018;22,4
04 Balears, Illes;Con dificultad;2017;14,1
04 Balears, Illes;Con dificultad;2016;16,2
04 Balears, Illes;Con dificultad;2015;19,9
04 Balears, Illes;Con dificultad;2014;15,5
04 Balears, Illes;Con dificultad;2013;14,7
04 Balears, Illes;Con dificultad;2012;14
04 Balears, Illes;Con dificultad;2011;18,8
04 Balears, Illes;Con dificultad;2010;18,5
04 Balears, Illes;Con dificultad;2009;21,8
04 Balears, Illes;Con dificultad;2008;14,1
04 Balears, Illes;Con dificultad;2007;10,9
04 Balears, Illes;Con dificultad;2006;16,4
04 Balears, Illes;Con dificultad;2005;14,8
04 Balears, Illes;Con dificultad;2004;10
04 Balears, Illes;Con cierta dificultad;2024;25,4
04 Balears, Illes;Con cierta dificultad;2023;32,3
04 Balears, Illes;Con cierta dificultad;2022;31,3
04 Balears, Illes;Con cierta dificultad;2021;24,2
04 Balears, Illes;Con cierta dificultad;2020;26,9
04 Balears, Illes;Con cierta dificultad;2019;33
04 Balears, Illes;Con cierta dificultad;2018;29,6
04 Balears, Illes;Con cierta dificultad;2017;31,8
04 Balears, Illes;Con cierta dificultad;2016;23,1
04 Balears, Illes;Con cierta dificultad;2015;19,4
04 Balears, Illes;Con cierta dificultad;2014;28,7
04 Balears, Illes;Con cierta dificultad;2013;34,5
04 Balears, Illes;Con cierta dificultad;2012;21,5
04 Balears, Illes;Con cierta dificultad;2011;24,5
04 Balears, Illes;Con cierta dificultad;2010;28,5
04 Balears, Illes;Con cierta dificultad;2009;24
04 Balears, Illes;Con cierta dificultad;2008;30,4
04 Balears, Illes;Con cierta dificultad;2007;33,8
04 Balears, Illes;Con cierta dificultad;2006;28,9
04 Balears, Illes;Con cierta dificultad;2005;25,7
04 Balears, Illes;Con cierta dificultad;2004;30
04 Balears, Illes;Con cierta facilidad;2024;33,7
04 Balears, Illes;Con cierta facilidad;2023;30,5
04 Balears, Illes;Con cierta facilidad;2022;27,7
04 Balears, Illes;Con cierta facilidad;2021;34,3
04 Balears, Illes;Con cierta facilidad;2020;35
04 Balears, Illes;Con cierta facilidad;2019;37,2
04 Balears, Illes;Con cierta facilidad;2018;21,8
04 Balears, Illes;Con cierta facilidad;2017;35,3
04 Balears, Illes;Con cierta facilidad;2016;31
04 Balears, Illes;Con cierta facilidad;2015;26,6
04 Balears, Illes;Con cierta facilidad;2014;26,4
04 Balears, Illes;Con cierta facilidad;2013;20,4
04 Balears, Illes;Con cierta facilidad;2012;33,3
04 Balears, Illes;Con cierta facilidad;2011;26,3
04 Balears, Illes;Con cierta facilidad;2010;29,3
04 Balears, Illes;Con cierta facilidad;2009;22,1
04 Balears, Illes;Con cierta facilidad;2008;28,7
04 Balears, Illes;Con cierta facilidad;2007;31,8
04 Balears, Illes;Con cierta facilidad;2006;30,5
04 Balears, Illes;Con cierta facilidad;2005;29,9
04 Balears, Illes;Con cierta facilidad;2004;32
04 Balears, Illes;Con facilidad;2024;22
04 Balears, Illes;Con facilidad;2023;20,3
04 Balears, Illes;Con facilidad;2022;20,4
04 Balears, Illes;Con facilidad;2021;21,3
04 Balears, Illes;Con facilidad;2020;15,4
04 Balears, Illes;Con facilidad;2019;9,4
04 Balears, Illes;Con facilidad;2018;15,4
04 Balears, Illes;Con facilidad;2017;12,5
04 Balears, Illes;Con facilidad;2016;14,7
04 Balears, Illes;Con facilidad;2015;15,8
04 Balears, Illes;Con facilidad;2014;11,9
04 Balears, Illes;Con facilidad;2013;10,6
04 Balears, Illes;Con facilidad;2012;21,2
04 Balears, Illes;Con facilidad;2011;12,7
04 Balears, Illes;Con facilidad;2010;8,3
04 Balears, Illes;Con facilidad;2009;13,6
04 Balears, Illes;Con facilidad;2008;11,8
04 Balears, Illes;Con facilidad;2007;14,8
04 Balears, Illes;Con facilidad;2006;11,2
04 Balears, Illes;Con facilidad;2005;13,3
04 Balears, Illes;Con facilidad;2004;16,4
04 Balears, Illes;Con mucha facilidad;2024;2,9
04 Balears, Illes;Con mucha facilidad;2023;2,7
04 Balears, Illes;Con mucha facilidad;2022;2,5
04 Balears, Illes;Con mucha facilidad;2021;1,7
04 Balears, Illes;Con mucha facilidad;2020;0,5
04 Balears, Illes;Con mucha facilidad;2019;0,7
04 Balears, Illes;Con mucha facilidad;2018;0,3
04 Balears, Illes;Con mucha facilidad;2017;0,4
04 Balears, Illes;Con mucha facilidad;2016;1,1
04 Balears, Illes;Con mucha facilidad;2015;0,4
04 Balears, Illes;Con mucha facilidad;2014;0,7
04 Balears, Illes;Con mucha facilidad;2013;1
04 Balears, Illes;Con mucha facilidad;2012;1
04 Balears, Illes;Con mucha facilidad;2011;1,9
04 Balears, Illes;Con mucha facilidad;2010;0,6
04 Balears, Illes;Con mucha facilidad;2009;2
04 Balears, Illes;Con mucha facilidad;2008;0,9
04 Balears, Illes;Con mucha facilidad;2007;1,5
04 Balears, Illes;Con mucha facilidad;2006;1,1
04 Balears, Illes;Con mucha facilidad;2005;0,4
04 Balears, Illes;Con mucha facilidad;2004;1,8
04 Balears, Illes;No consta;2024;1,2
04 Balears, Illes;No consta;2023;0,4
04 Balears, Illes;No consta;2022;0,2
04 Balears, Illes;No consta;2021;0
04 Balears, Illes;No consta;2020;..
04 Balears, Illes;No consta;2019;..
04 Balears, Illes;No consta;2018;..
04 Balears, Illes;No consta;2017;..
04 Balears, Illes;No consta;2016;..
04 Balears, Illes;No consta;2015;..
04 Balears, Illes;No consta;2014;..
04 Balears, Illes;No consta;2013;..
04 Balears, Illes;No consta;2012;..
04 Balears, Illes;No consta;2011;..
04 Balears, Illes;No consta;2010;..
04 Balears, Illes;No consta;2009;..
04 Balears, Illes;No consta;2008;..
04 Balears, Illes;No consta;2007;..
04 Balears, Illes;No consta;2006;0,1
04 Balears, Illes;No consta;2005;..
04 Balears, Illes;No consta;2004;0,1
05 Canarias;Con mucha dificultad;2024;12,4
05 Canarias;Con mucha dificultad;2023;9,9
05 Canarias;Con mucha dificultad;2022;13,4
05 Canarias;Con mucha dificultad;2021;15,2
05 Canarias;Con mucha dificultad;2020;15,6
05 Canarias;Con mucha dificultad;2019;14,8
05 Canarias;Con mucha dificultad;2018;15,3
05 Canarias;Con mucha dificultad;2017;19,3
05 Canarias;Con mucha dificultad;2016;36,1
05 Canarias;Con mucha dificultad;2015;34,8
05 Canarias;Con mucha dificultad;2014;19
05 Canarias;Con mucha dificultad;2013;17,2
05 Canarias;Con mucha dificultad;2012;19,2
05 Canarias;Con mucha dificultad;2011;12,8
05 Canarias;Con mucha dificultad;2010;17
05 Canarias;Con mucha dificultad;2009;20,6
05 Canarias;Con mucha dificultad;2008;18,6
05 Canarias;Con mucha dificultad;2007;15,1
05 Canarias;Con mucha dificultad;2006;17,3
05 Canarias;Con mucha dificultad;2005;19,1
05 Canarias;Con mucha dificultad;2004;23,9
05 Canarias;Con dificultad;2024;13,6
05 Canarias;Con dificultad;2023;19,3
05 Canarias;Con dificultad;2022;16,2
05 Canarias;Con dificultad;2021;15,5
05 Canarias;Con dificultad;2020;16,8
05 Canarias;Con dificultad;2019;11,3
05 Canarias;Con dificultad;2018;22,3
05 Canarias;Con dificultad;2017;17,6
05 Canarias;Con dificultad;2016;19
05 Canarias;Con dificultad;2015;20,3
05 Canarias;Con dificultad;2014;28,2
05 Canarias;Con dificultad;2013;27
05 Canarias;Con dificultad;2012;26,7
05 Canarias;Con dificultad;2011;20,4
05 Canarias;Con dificultad;2010;25
05 Canarias;Con dificultad;2009;31,3
05 Canarias;Con dificultad;2008;25,7
05 Canarias;Con dificultad;2007;25,8
05 Canarias;Con dificultad;2006;23,3
05 Canarias;Con dificultad;2005;20,5
05 Canarias;Con dificultad;2004;24,3
05 Canarias;Con cierta dificultad;2024;31,4
05 Canarias;Con cierta dificultad;2023;35,6
05 Canarias;Con cierta dificultad;2022;31,1
05 Canarias;Con cierta dificultad;2021;28,5
05 Canarias;Con cierta dificultad;2020;34,3
05 Canarias;Con cierta dificultad;2019;27,6
05 Canarias;Con cierta dificultad;2018;26,4
05 Canarias;Con cierta dificultad;2017;24,6
05 Canarias;Con cierta dificultad;2016;21,2
05 Canarias;Con cierta dificultad;2015;28,5
05 Canarias;Con cierta dificultad;2014;33,8
05 Canarias;Con cierta dificultad;2013;30,3
05 Canarias;Con cierta dificultad;2012;32,1
05 Canarias;Con cierta dificultad;2011;35,8
05 Canarias;Con cierta dificultad;2010;33,2
05 Canarias;Con cierta dificultad;2009;25,6
05 Canarias;Con cierta dificultad;2008;36,3
05 Canarias;Con cierta dificultad;2007;38,4
05 Canarias;Con cierta dificultad;2006;37,3
05 Canarias;Con cierta dificultad;2005;29,9
05 Canarias;Con cierta dificultad;2004;28,1
05 Canarias;Con cierta facilidad;2024;24,7
05 Canarias;Con cierta facilidad;2023;22,4
05 Canarias;Con cierta facilidad;2022;26,7
05 Canarias;Con cierta facilidad;2021;26,2
05 Canarias;Con cierta facilidad;2020;20,4
05 Canarias;Con cierta facilidad;2019;30,8
05 Canarias;Con cierta facilidad;2018;22,2
05 Canarias;Con cierta facilidad;2017;23,4
05 Canarias;Con cierta facilidad;2016;17,4
05 Canarias;Con cierta facilidad;2015;11,8
05 Canarias;Con cierta facilidad;2014;14,6
05 Canarias;Con cierta facilidad;2013;20,4
05 Canarias;Con cierta facilidad;2012;16,9
05 Canarias;Con cierta facilidad;2011;25,8
05 Canarias;Con cierta facilidad;2010;17,7
05 Canarias;Con cierta facilidad;2009;16,8
05 Canarias;Con cierta facilidad;2008;14,4
05 Canarias;Con cierta facilidad;2007;14,8
05 Canarias;Con cierta facilidad;2006;15,8
05 Canarias;Con cierta facilidad;2005;21,5
05 Canarias;Con cierta facilidad;2004;18,7
05 Canarias;Con facilidad;2024;15,1
05 Canarias;Con facilidad;2023;11,1
05 Canarias;Con facilidad;2022;10,7
05 Canarias;Con facilidad;2021;13
05 Canarias;Con facilidad;2020;11,4
05 Canarias;Con facilidad;2019;14,1
05 Canarias;Con facilidad;2018;12,9
05 Canarias;Con facilidad;2017;12,9
05 Canarias;Con facilidad;2016;5,2
05 Canarias;Con facilidad;2015;4,3
05 Canarias;Con facilidad;2014;4,2
05 Canarias;Con facilidad;2013;5
05 Canarias;Con facilidad;2012;4,9
05 Canarias;Con facilidad;2011;5
05 Canarias;Con facilidad;2010;6,8
05 Canarias;Con facilidad;2009;5,3
05 Canarias;Con facilidad;2008;4,6
05 Canarias;Con facilidad;2007;5,4
05 Canarias;Con facilidad;2006;6
05 Canarias;Con facilidad;2005;8,2
05 Canarias;Con facilidad;2004;4
05 Canarias;Con mucha facilidad;2024;2,8
05 Canarias;Con mucha facilidad;2023;1,3
05 Canarias;Con mucha facilidad;2022;1,5
05 Canarias;Con mucha facilidad;2021;1,6
05 Canarias;Con mucha facilidad;2020;1,5
05 Canarias;Con mucha facilidad;2019;1,4
05 Canarias;Con mucha facilidad;2018;0,8
05 Canarias;Con mucha facilidad;2017;2,2
05 Canarias;Con mucha facilidad;2016;1,2
05 Canarias;Con mucha facilidad;2015;0,3
05 Canarias;Con mucha facilidad;2014;0,3
05 Canarias;Con mucha facilidad;2013;0,1
05 Canarias;Con mucha facilidad;2012;0,3
05 Canarias;Con mucha facilidad;2011;0,2
05 Canarias;Con mucha facilidad;2010;0,2
05 Canarias;Con mucha facilidad;2009;0,4
05 Canarias;Con mucha facilidad;2008;0,4
05 Canarias;Con mucha facilidad;2007;0,4
05 Canarias;Con mucha facilidad;2006;0,3
05 Canarias;Con mucha facilidad;2005;1
05 Canarias;Con mucha facilidad;2004;0,5
05 Canarias;No consta;2024;0
05 Canarias;No consta;2023;0,3
05 Canarias;No consta;2022;0,4
05 Canarias;No consta;2021;..
05 Canarias;No consta;2020;..
05 Canarias;No consta;2019;0
05 Canarias;No consta;2018;..
05 Canarias;No consta;2017;..
05 Canarias;No consta;2016;..
05 Canarias;No consta;2015;..
05 Canarias;No consta;2014;..
05 Canarias;No consta;2013;..
05 Canarias;No consta;2012;..
05 Canarias;No consta;2011;..
05 Canarias;No consta;2010;..
05 Canarias;No consta;2009;0,1
05 Canarias;No consta;2008;..
05 Canarias;No consta;2007;..
05 Canarias;No consta;2006;..
05 Canarias;No consta;2005;..
05 Canarias;No consta;2004;0,4
06 Cantabria;Con mucha dificultad;2024;6,8
06 Cantabria;Con mucha dificultad;2023;6,5
06 Cantabria;Con mucha dificultad;2022;5,8
06 Cantabria;Con mucha dificultad;2021;6,9
06 Cantabria;Con mucha dificultad;2020;6,1
06 Cantabria;Con mucha dificultad;2019;7
06 Cantabria;Con mucha dificultad;2018;8,4
06 Cantabria;Con mucha dificultad;2017;6,1
06 Cantabria;Con mucha dificultad;2016;11,1
06 Cantabria;Con mucha dificultad;2015;13,2
06 Cantabria;Con mucha dificultad;2014;18,3
06 Cantabria;Con mucha dificultad;2013;14,9
06 Cantabria;Con mucha dificultad;2012;8,1
06 Cantabria;Con mucha dificultad;2011;7,2
06 Cantabria;Con mucha dificultad;2010;14,1
06 Cantabria;Con mucha dificultad;2009;6,1
06 Cantabria;Con mucha dificultad;2008;11
06 Cantabria;Con mucha dificultad;2007;4,4
06 Cantabria;Con mucha dificultad;2006;10
06 Cantabria;Con mucha dificultad;2005;3,7
06 Cantabria;Con mucha dificultad;2004;8,5
06 Cantabria;Con dificultad;2024;13,2
06 Cantabria;Con dificultad;2023;11,3
06 Cantabria;Con dificultad;2022;9,4
06 Cantabria;Con dificultad;2021;7,4
06 Cantabria;Con dificultad;2020;13,2
06 Cantabria;Con dificultad;2019;21,5
06 Cantabria;Con dificultad;2018;26
06 Cantabria;Con dificultad;2017;9
06 Cantabria;Con dificultad;2016;20,3
06 Cantabria;Con dificultad;2015;18,9
06 Cantabria;Con dificultad;2014;15,3
06 Cantabria;Con dificultad;2013;28,4
06 Cantabria;Con dificultad;2012;10,2
06 Cantabria;Con dificultad;2011;15,9
06 Cantabria;Con dificultad;2010;19,3
06 Cantabria;Con dificultad;2009;16,6
06 Cantabria;Con dificultad;2008;23
06 Cantabria;Con dificultad;2007;15,7
06 Cantabria;Con dificultad;2006;15,7
06 Cantabria;Con dificultad;2005;7
06 Cantabria;Con dificultad;2004;12,8
06 Cantabria;Con cierta dificultad;2024;21,9
06 Cantabria;Con cierta dificultad;2023;24,6
06 Cantabria;Con cierta dificultad;2022;26,9
06 Cantabria;Con cierta dificultad;2021;19,1
06 Cantabria;Con cierta dificultad;2020;21,3
06 Cantabria;Con cierta dificultad;2019;29,2
06 Cantabria;Con cierta dificultad;2018;30,5
06 Cantabria;Con cierta dificultad;2017;37,7
06 Cantabria;Con cierta dificultad;2016;16,3
06 Cantabria;Con cierta dificultad;2015;25,3
06 Cantabria;Con cierta dificultad;2014;32,2
06 Cantabria;Con cierta dificultad;2013;28,2
06 Cantabria;Con cierta dificultad;2012;33,5
06 Cantabria;Con cierta dificultad;2011;28,9
06 Cantabria;Con cierta dificultad;2010;25,9
06 Cantabria;Con cierta dificultad;2009;26,4
06 Cantabria;Con cierta dificultad;2008;31
06 Cantabria;Con cierta dificultad;2007;36,6
06 Cantabria;Con cierta dificultad;2006;25,1
06 Cantabria;Con cierta dificultad;2005;28,7
06 Cantabria;Con cierta dificultad;2004;26,3
06 Cantabria;Con cierta facilidad;2024;29,7
06 Cantabria;Con cierta facilidad;2023;28,9
06 Cantabria;Con cierta facilidad;2022;29,9
06 Cantabria;Con cierta facilidad;2021;34
06 Cantabria;Con cierta facilidad;2020;32,5
06 Cantabria;Con cierta facilidad;2019;33,1
06 Cantabria;Con cierta facilidad;2018;20,6
06 Cantabria;Con cierta facilidad;2017;36,1
06 Cantabria;Con cierta facilidad;2016;32,5
06 Cantabria;Con cierta facilidad;2015;23,7
06 Cantabria;Con cierta facilidad;2014;26,7
06 Cantabria;Con cierta facilidad;2013;23,8
06 Cantabria;Con cierta facilidad;2012;35,7
06 Cantabria;Con cierta facilidad;2011;32
06 Cantabria;Con cierta facilidad;2010;25,6
06 Cantabria;Con cierta facilidad;2009;37,7
06 Cantabria;Con cierta facilidad;2008;22,8
06 Cantabria;Con cierta facilidad;2007;25,5
06 Cantabria;Con cierta facilidad;2006;26,6
06 Cantabria;Con cierta facilidad;2005;39,6
06 Cantabria;Con cierta facilidad;2004;40,8
06 Cantabria;Con facilidad;2024;22,7
06 Cantabria;Con facilidad;2023;23,5
06 Cantabria;Con facilidad;2022;24,4
06 Cantabria;Con facilidad;2021;26,2
06 Cantabria;Con facilidad;2020;21,1
06 Cantabria;Con facilidad;2019;8,3
06 Cantabria;Con facilidad;2018;12,3
06 Cantabria;Con facilidad;2017;10,6
06 Cantabria;Con facilidad;2016;19,2
06 Cantabria;Con facilidad;2015;17,9
06 Cantabria;Con facilidad;2014;7,2
06 Cantabria;Con facilidad;2013;4,6
06 Cantabria;Con facilidad;2012;11,4
06 Cantabria;Con facilidad;2011;15,3
06 Cantabria;Con facilidad;2010;13,8
06 Cantabria;Con facilidad;2009;11,2
06 Cantabria;Con facilidad;2008;9,4
06 Cantabria;Con facilidad;2007;15,2
06 Cantabria;Con facilidad;2006;18,3
06 Cantabria;Con facilidad;2005;19,9
06 Cantabria;Con facilidad;2004;10,5
06 Cantabria;Con mucha facilidad;2024;5,4
06 Cantabria;Con mucha facilidad;2023;5,2
06 Cantabria;Con mucha facilidad;2022;3,3
06 Cantabria;Con mucha facilidad;2021;6,5
06 Cantabria;Con mucha facilidad;2020;5,9
06 Cantabria;Con mucha facilidad;2019;0,7
06 Cantabria;Con mucha facilidad;2018;2,2
06 Cantabria;Con mucha facilidad;2017;0,5
06 Cantabria;Con mucha facilidad;2016;0,5
06 Cantabria;Con mucha facilidad;2015;1,1
06 Cantabria;Con mucha facilidad;2014;0,3
06 Cantabria;Con mucha facilidad;2013;0,2
06 Cantabria;Con mucha facilidad;2012;1,1
06 Cantabria;Con mucha facilidad;2011;0,7
06 Cantabria;Con mucha facilidad;2010;1,4
06 Cantabria;Con mucha facilidad;2009;2
06 Cantabria;Con mucha facilidad;2008;2,9
06 Cantabria;Con mucha facilidad;2007;2,4
06 Cantabria;Con mucha facilidad;2006;4,2
06 Cantabria;Con mucha facilidad;2005;1,1
06 Cantabria;Con mucha facilidad;2004;1,1
06 Cantabria;No consta;2024;0,3
06 Cantabria;No consta;2023;0,1
06 Cantabria;No consta;2022;0,3
06 Cantabria;No consta;2021;..
06 Cantabria;No consta;2020;..
06 Cantabria;No consta;2019;0,2
06 Cantabria;No consta;2018;..
06 Cantabria;No consta;2017;..
06 Cantabria;No consta;2016;..
06 Cantabria;No consta;2015;..
06 Cantabria;No consta;2014;..
06 Cantabria;No consta;2013;..
06 Cantabria;No consta;2012;..
06 Cantabria;No consta;2011;..
06 Cantabria;No consta;2010;..
06 Cantabria;No consta;2009;..
06 Cantabria;No consta;2008;..
06 Cantabria;No consta;2007;0,2
06 Cantabria;No consta;2006;..
06 Cantabria;No consta;2005;0
06 Cantabria;No consta;2004;..
07 Castilla y León;Con mucha dificultad;2024;7,5
07 Castilla y León;Con mucha dificultad;2023;7,7
07 Castilla y León;Con mucha dificultad;2022;6,8
07 Castilla y León;Con mucha dificultad;2021;6,7
07 Castilla y León;Con mucha dificultad;2020;8,4
07 Castilla y León;Con mucha dificultad;2019;3,2
07 Castilla y León;Con mucha dificultad;2018;3,8
07 Castilla y León;Con mucha dificultad;2017;4,6
07 Castilla y León;Con mucha dificultad;2016;5,3
07 Castilla y León;Con mucha dificultad;2015;10,2
07 Castilla y León;Con mucha dificultad;2014;12,5
07 Castilla y León;Con mucha dificultad;2013;10,5
07 Castilla y León;Con mucha dificultad;2012;7,7
07 Castilla y León;Con mucha dificultad;2011;6,9
07 Castilla y León;Con mucha dificultad;2010;12,5
07 Castilla y León;Con mucha dificultad;2009;13,1
07 Castilla y León;Con mucha dificultad;2008;7,8
07 Castilla y León;Con mucha dificultad;2007;4,9
07 Castilla y León;Con mucha dificultad;2006;8,9
07 Castilla y León;Con mucha dificultad;2005;6,9
07 Castilla y León;Con mucha dificultad;2004;6,8
07 Castilla y León;Con dificultad;2024;11,1
07 Castilla y León;Con dificultad;2023;9,2
07 Castilla y León;Con dificultad;2022;10,3
07 Castilla y León;Con dificultad;2021;10,6
07 Castilla y León;Con dificultad;2020;7,1
07 Castilla y León;Con dificultad;2019;9,2
07 Castilla y León;Con dificultad;2018;13,6
07 Castilla y León;Con dificultad;2017;10,6
07 Castilla y León;Con dificultad;2016;13,1
07 Castilla y León;Con dificultad;2015;15,1
07 Castilla y León;Con dificultad;2014;16,7
07 Castilla y León;Con dificultad;2013;18,5
07 Castilla y León;Con dificultad;2012;12,8
07 Castilla y León;Con dificultad;2011;11,1
07 Castilla y León;Con dificultad;2010;14,2
07 Castilla y León;Con dificultad;2009;12,8
07 Castilla y León;Con dificultad;2008;16,5
07 Castilla y León;Con dificultad;2007;15,7
07 Castilla y León;Con dificultad;2006;17
07 Castilla y León;Con dificultad;2005;13,1
07 Castilla y León;Con dificultad;2004;16,9
07 Castilla y León;Con cierta dificultad;2024;21,6
07 Castilla y León;Con cierta dificultad;2023;22
07 Castilla y León;Con cierta dificultad;2022;22,8
07 Castilla y León;Con cierta dificultad;2021;17,9
07 Castilla y León;Con cierta dificultad;2020;18,5
07 Castilla y León;Con cierta dificultad;2019;23,2
07 Castilla y León;Con cierta dificultad;2018;25,7
07 Castilla y León;Con cierta dificultad;2017;23,8
07 Castilla y León;Con cierta dificultad;2016;28,9
07 Castilla y León;Con cierta dificultad;2015;27,4
07 Castilla y León;Con cierta dificultad;2014;26
07 Castilla y León;Con cierta dificultad;2013;28
07 Castilla y León;Con cierta dificultad;2012;28,1
07 Castilla y León;Con cierta dificultad;2011;31,3
07 Castilla y León;Con cierta dificultad;2010;27,5
07 Castilla y León;Con cierta dificultad;2009;29,5
07 Castilla y León;Con cierta dificultad;2008;29,6
07 Castilla y León;Con cierta dificultad;2007;28,3
07 Castilla y León;Con cierta dificultad;2006;25,9
07 Castilla y León;Con cierta dificultad;2005;28,8
07 Castilla y León;Con cierta dificultad;2004;33,3
07 Castilla y León;Con cierta facilidad;2024;29
07 Castilla y León;Con cierta facilidad;2023;30,7
07 Castilla y León;Con cierta facilidad;2022;29,3
07 Castilla y León;Con cierta facilidad;2021;31,8
07 Castilla y León;Con cierta facilidad;2020;27,9
07 Castilla y León;Con cierta facilidad;2019;39,4
07 Castilla y León;Con cierta facilidad;2018;33,9
07 Castilla y León;Con cierta facilidad;2017;40,2
07 Castilla y León;Con cierta facilidad;2016;36,2
07 Castilla y León;Con cierta facilidad;2015;33,2
07 Castilla y León;Con cierta facilidad;2014;30
07 Castilla y León;Con cierta facilidad;2013;32
07 Castilla y León;Con cierta facilidad;2012;37,3
07 Castilla y León;Con cierta facilidad;2011;30,1
07 Castilla y León;Con cierta facilidad;2010;24,9
07 Castilla y León;Con cierta facilidad;2009;28,2
07 Castilla y León;Con cierta facilidad;2008;28,3
07 Castilla y León;Con cierta facilidad;2007;32,3
07 Castilla y León;Con cierta facilidad;2006;31,8
07 Castilla y León;Con cierta facilidad;2005;35,5
07 Castilla y León;Con cierta facilidad;2004;27,5
07 Castilla y León;Con facilidad;2024;26,1
07 Castilla y León;Con facilidad;2023;26
07 Castilla y León;Con facilidad;2022;26,2
07 Castilla y León;Con facilidad;2021;26,4
07 Castilla y León;Con facilidad;2020;34,4
07 Castilla y León;Con facilidad;2019;23,8
07 Castilla y León;Con facilidad;2018;21
07 Castilla y León;Con facilidad;2017;19,4
07 Castilla y León;Con facilidad;2016;15,2
07 Castilla y León;Con facilidad;2015;13,4
07 Castilla y León;Con facilidad;2014;12,9
07 Castilla y León;Con facilidad;2013;10,4
07 Castilla y León;Con facilidad;2012;13,4
07 Castilla y León;Con facilidad;2011;19,4
07 Castilla y León;Con facilidad;2010;19,6
07 Castilla y León;Con facilidad;2009;14,4
07 Castilla y León;Con facilidad;2008;16,9
07 Castilla y León;Con facilidad;2007;17,3
07 Castilla y León;Con facilidad;2006;14,2
07 Castilla y León;Con facilidad;2005;14,5
07 Castilla y León;Con facilidad;2004;14,6
07 Castilla y León;Con mucha facilidad;2024;4,7
07 Castilla y León;Con mucha facilidad;2023;4,2
07 Castilla y León;Con mucha facilidad;2022;4,8
07 Castilla y León;Con mucha facilidad;2021;6,5
07 Castilla y León;Con mucha facilidad;2020;3,7
07 Castilla y León;Con mucha facilidad;2019;1,2
07 Castilla y León;Con mucha facilidad;2018;2
07 Castilla y León;Con mucha facilidad;2017;1,5
07 Castilla y León;Con mucha facilidad;2016;1,2
07 Castilla y León;Con mucha facilidad;2015;0,7
07 Castilla y León;Con mucha facilidad;2014;1,8
07 Castilla y León;Con mucha facilidad;2013;0,6
07 Castilla y León;Con mucha facilidad;2012;0,8
07 Castilla y León;Con mucha facilidad;2011;1,1
07 Castilla y León;Con mucha facilidad;2010;1,3
07 Castilla y León;Con mucha facilidad;2009;1,9
07 Castilla y León;Con mucha facilidad;2008;1
07 Castilla y León;Con mucha facilidad;2007;1,5
07 Castilla y León;Con mucha facilidad;2006;1,7
07 Castilla y León;Con mucha facilidad;2005;0,9
07 Castilla y León;Con mucha facilidad;2004;0,6
07 Castilla y León;No consta;2024;0,2
07 Castilla y León;No consta;2023;0,3
07 Castilla y León;No consta;2022;0,1
07 Castilla y León;No consta;2021;0,1
07 Castilla y León;No consta;2020;0
07 Castilla y León;No consta;2019;..
07 Castilla y León;No consta;2018;..
07 Castilla y León;No consta;2017;..
07 Castilla y León;No consta;2016;..
07 Castilla y León;No consta;2015;..
07 Castilla y León;No consta;2014;..
07 Castilla y León;No consta;2013;..
07 Castilla y León;No consta;2012;..
07 Castilla y León;No consta;2011;..
07 Castilla y León;No consta;2010;..
07 Castilla y León;No consta;2009;..
07 Castilla y León;No consta;2008;..
07 Castilla y León;No consta;2007;..
07 Castilla y León;No consta;2006;0,4
07 Castilla y León;No consta;2005;0,4
07 Castilla y León;No consta;2004;0,3
08 Castilla - La Mancha;Con mucha dificultad;2024;13
08 Castilla - La Mancha;Con mucha dificultad;2023;9,3
08 Castilla - La Mancha;Con mucha dificultad;2022;10,8
08 Castilla - La Mancha;Con mucha dificultad;2021;8,5
08 Castilla - La Mancha;Con mucha dificultad;2020;6,5
08 Castilla - La Mancha;Con mucha dificultad;2019;6,2
08 Castilla - La Mancha;Con mucha dificultad;2018;9,3
08 Castilla - La Mancha;Con mucha dificultad;2017;9,4
08 Castilla - La Mancha;Con mucha dificultad;2016;16,9
08 Castilla - La Mancha;Con mucha dificultad;2015;17
08 Castilla - La Mancha;Con mucha dificultad;2014;16,1
